Country Name,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Philippines,16.49237455,16.11990584,17.44682931,17.00674612,17.53561861,17.87559391,18.12032218,17.92575129,18.4745866,18.7678353,18.35714235,18.33229582,19.40176026,16.979646,17.36051055,16.89803138,17.19851935,17.71687094,18.15222688,18.39222003,17.91433106,18.27836004,17.83304904,18.6651789,19.1045345,19.30989483,19.8687397,19.99094561,20.07599225,20.33176055,19.057235,18.91593132,18.57911094,18.157127,17.84679626,17.40129153,17.14041954,17.49434277,16.38491958,17.04700138,16.87287584,17.64341102,17.96501399,18.80714816, ,,,,
Russia, , , , , , , , , , , ,  , , , , , , , ,235.0868745,232.4102062,212.1841656,200.5541257,175.6140369,170.1372593,168.6272437,161.3737768,157.876939,164.0334025,167.5039675,170.0460234,170.0386008,176.9028359,178.186745,180.0592196,185.9070766,186.7576706,191.2495495,179.677338,191.0875641,200.2229946,204.8855043,201.3809012,195.997909, ,,,,
South Africa,79.47736359,78.67790038,81.55642437,82.36418941,84.941205,85.69190581,85.3413344,87.98292136,88.6118002,90.78694909,97.22481369,102.8665409,101.8917649,107.603531,104.8380177,106.5171638,107.7956621,109.5908133,102.5267251,98.005308,99.84994685,90.83091138,94.98312289,95.96261354,99.0876584,99.32593374,100.239411,98.00050968,97.71686767,96.15287984,97.58611573,94.53725488,99.85847993,107.7081219,106.2116494,104.1196242,110.0604016,116.9812892,113.0930294,109.7621749,107.7226401,104.5487643,103.2055601,106.8802951, ,,,,
Spain,49.36366055,51.37430373,58.4460551,62.65611881,63.75113714,67.72214284,65.87008388,69.68534647,70.13730354,71.59638282,72.17187671,69.80444875,70.64002054,71.90700993,73.08742095,74.37949851,76.00483364,81.9112839,89.97229774,91.8939998,95.07562199,96.37069007,91.95372516,96.5942451,100.6015503,98.7088418,104.4707111,109.2912699,114.1195106,119.1069864,121.3719488,123.2350477,125.1922974,128.4150705,128.9263784,126.653654,126.096621,120.0022128,109.3496586,108.7622357,106.6530007,106.4025389,99.61155314,97.72945682,101.9603771,,,,
Thailand,14.29848208,14.58804852,15.41032727,15.32260141,16.24512105,17.21769651,17.90764563,18.19583612,18.81140089,18.41577568,18.24803841,18.10370513,16.32780079,17.70422041,18.85451485,19.44865698,21.0989199,23.64352476,26.03332408,29.40659638,31.55715366,33.28529281,34.80529534,38.13603725,41.29071464,45.66094364,45.96421976,42.58027279,44.93798039,45.531089,46.42307031,50.91129842,54.74048598,58.74821856,60.01303523,60.82692033,63.05065528,64.42871742,63.86779713,69.53888286,69.12403763,73.76644495,78.97188236,78.07605479, ,,,,
Turkey,21.695026,23.92184818,25.77192123,26.04569991,27.01201213,28.72776125,30.80075061,29.99570546,27.89752598,28.35749042,27.94680063,29.03462147,30.05478569,30.5856883,31.73316867,33.50401478,36.44852716,36.02080981,36.74180837,38.76689384,37.5809695,38.14307266,39.81660484,38.72028598,41.742236,44.65599978,46.2439621,46.38880661,44.85071134,47.6261897,43.387274,45.17827896,46.72582877,47.76817562,49.17578824,53.72163218,56.987279,55.5840578,54.36889488,58.4744405,61.28227146,62.7952357,61.06891306,62.40194087,65.48078964,,,,
Ukraine, , , , , , , , , , , , , , , , , , , ,192.5762986,192.4144024,166.9224789,147.8480434,126.6003536,126.0085914,116.4704542,112.4630302,107.3053176,107.815097,107.8838157,109.220084,111.5491206,119.9545132,120.2068655,120.2736455,116.3919977,118.8075722,115.4152978,98.61747663,114.4768663,109.795065,106.54888,101.2377302,92.56533533, ,,,,
United Kingdom,148.0344101,148.6164896,153.877903,148.0962148,140.6008995,143.4225157,146.5316108,145.7405969,153.0184641,139.7218689,135.4286305,134.704761,133.9427419,133.6501068,140.7978404,142.6678933,143.505855,144.4547265,143.7921703,142.6324806,147.0299688,146.1089403,147.2375045,148.0041994,147.8631169,153.8450949,149.122056,150.1687297,150.0484093,150.1149875,150.082276,146.1543407,147.9680602,146.4957143,146.173787,142.702221,136.4700131,133.3112981,124.7306775,128.1023516,117.8534214,120.657171,118.4702093,110.1091126,109.5990198,,,,
United States,303.125351,314.8812801,323.7081871,313.6357381,303.5908242,321.2084244,328.5445011,334.6046957,330.1889268,314.9310515,303.2448343,287.8414155,285.4638305,295.1470564,295.6602756,292.4814582,302.2390445,311.2632229,312.8704713,304.2058158,302.6076071,304.428994,305.7016519,307.6182303,307.8531436,311.053631,310.4236633,309.4369679,314.1764971,319.47567,310.3961138,311.0090846,309.061772,312.5251542,311.1341822,305.2320043,307.6315205,296.9219827,279.8198812,283.9702164,278.7591456,272.4967991,273.8269241,276.0091994,269.7931208,,,,
Vietnam,11.78627496,11.61754547,11.87466751,10.88885493,11.31939222,9.942377552,10.11148672,10.15441438,10.2792872,10.51316202,10.40852428,10.53894626,10.62930161,10.50971562,10.39651144,10.64823893,11.01840487,10.87907777,10.40542225,10.41987161,10.34104539,10.5734273,11.24742882,11.04901266,11.58458524,12.04777191,12.80340078,13.47278475,13.7035086,14.25920953,15.05001186,16.26353546,16.91620546,18.60244927,19.51195639,19.80869589,21.11453129,22.36121478,24.15938834,26.55534898,26.27212026,26.46097904,26.18397004, , ,,,,
